Code,Subject Name,Year,Type,School
ARTD 451,Ethics of a Designer in a Global Economy,2020,Regular,FAA
ARTD 490,Senior Honors,2020,Regular,FAA
ARTD 499,Special Topics in Design,2020,Regular,FAA
ARTD 501,Industrial Design I,2020,Regular,FAA
ARTD 503,Industrial Design III,2020,Regular,FAA
ARTD 570,Design Research Methodology,2020,Regular,FAA
ARTD 591,Special Problems in Design,2020,Regular,FAA
ARTD 595,MFA Graphic Design Studio,2020,Regular,FAA
ARTD 599,Thesis,2020,Regular,FAA
ARTE 202,Facilitating the Art Experience,2020,Regular,General Studies
ARTE 203,Everyday Arts Lab,2020,Regular,General Studies
ARTE 204,Practicum Teaching Experience,2020,Regular,General Studies
ARTE 302,Art-Centered Learning at the Secondary Level,2020,Regular,General Studies
ARTE 391,Independent Study,2020,Regular,General Studies
ARTE 401,Teaching Seminar,2020,Regular,General Studies
ARTE 475,Art Exhibition Practices,2020,Regular,General Studies
ARTE 490,Senior Honors,2020,Regular,General Studies
ARTE 502,Curriculum Development in Art,2020,Regular,General Studies
ARTE 591,Independent Graduate Studies,2020,Regular,General Studies
ARTE 599,Thesis Research,2020,Regular,General Studies
ARTF 101,Contemporary Issues in Art,2020,Regular,FAA
ARTF 102,Observational Drawing,2020,Regular,FAA
ARTF 106,Visualization Drawing,2020,Regular,FAA
ARTF 199,Undergraduate Open Seminar,2020,Regular,FAA
ARTH 110,Introduction to the History of Art and Visual Culture,2020,Regular,FAA
ARTH 217,Development of Ancient Cities,2020,Regular,FAA
ARTH 219,Islamic Gardens & Architecture,2020,Regular,FAA
ARTH 250,American Art,2020,Regular,FAA
ARTH 257,History of Photography,2020,Regular,FAA
ARTH 299,Spec Topics in Art History,2020,Regular,FAA
ARTH 391,Individual Art History Topics,2020,Regular,FAA
ARTH 402,Ways of Seeing in Edo Japan,2020,Regular,FAA
ARTH 416,The Archaeology of Italy,2020,Regular,FAA
